IP Address,Status,Response Time (ms),Info
20.0.0.53,Active,1144.1,N/A
20.0.0.54,Active,2069.1,N/A
20.0.0.73,Active,2032.2,N/A
20.0.0.61,Down,Timeout,N/A
20.0.0.58,Down,Timeout,N/A
20.0.0.57,Down,Timeout,N/A
20.0.0.63,Down,Timeout,N/A
20.0.0.67,Down,Timeout,N/A
20.0.0.135,Down,Timeout,N/A
20.0.0.148,Down,Timeout,N/A
20.0.0.68,Down,Timeout,N/A
20.0.0.151,Down,Timeout,N/A
20.0.0.55,Down,Timeout,N/A
20.0.0.106,Down,Timeout,N/A
20.0.0.130,Down,Timeout,N/A
20.0.0.119,Down,Timeout,N/A
20.0.0.56,Down,Timeout,N/A
20.0.0.138,Down,Timeout,N/A
20.0.0.71,Down,Timeout,N/A
20.0.0.94,Down,Timeout,N/A
20.0.0.82,Down,Timeout,N/A
20.0.0.100,Down,Timeout,N/A
20.0.0.69,Down,Timeout,N/A
20.0.0.103,Down,Timeout,N/A
20.0.0.76,Down,Timeout,N/A
20.0.0.114,Down,Timeout,N/A
20.0.0.152,Down,Timeout,N/A
20.0.0.104,Down,Timeout,N/A
20.0.0.145,Down,Timeout,N/A
20.0.0.113,Down,Timeout,N/A
20.0.0.64,Down,Timeout,N/A
20.0.0.98,Down,Timeout,N/A
20.0.0.128,Down,Timeout,N/A
20.0.0.59,Down,Timeout,N/A
20.0.0.144,Down,Timeout,N/A
20.0.0.147,Down,Timeout,N/A
20.0.0.111,Down,Timeout,N/A
20.0.0.129,Down,Timeout,N/A
20.0.0.78,Down,Timeout,N/A
20.0.0.140,Down,Timeout,N/A
20.0.0.60,Down,Timeout,N/A
20.0.0.72,Down,Timeout,N/A
20.0.0.110,Down,Timeout,N/A
20.0.0.93,Down,Timeout,N/A
20.0.0.70,Down,Timeout,N/A
20.0.0.112,Down,Timeout,N/A
20.0.0.102,Down,Timeout,N/A
20.0.0.126,Down,Timeout,N/A
20.0.0.90,Down,Timeout,N/A
20.0.0.66,Down,Timeout,N/A
20.0.0.99,Down,Timeout,N/A
20.0.0.75,Down,Timeout,N/A
20.0.0.116,Down,Timeout,N/A
20.0.0.92,Down,Timeout,N/A
20.0.0.74,Down,Timeout,N/A
20.0.0.149,Down,Timeout,N/A
20.0.0.142,Down,Timeout,N/A
20.0.0.127,Down,Timeout,N/A
20.0.0.122,Down,Timeout,N/A
20.0.0.83,Down,Timeout,N/A
20.0.0.81,Down,Timeout,N/A
20.0.0.89,Down,Timeout,N/A
20.0.0.101,Down,Timeout,N/A
20.0.0.79,Down,Timeout,N/A
20.0.0.65,Down,Timeout,N/A
20.0.0.117,Down,Timeout,N/A
20.0.0.77,Down,Timeout,N/A
20.0.0.143,Down,Timeout,N/A
20.0.0.96,Down,Timeout,N/A
20.0.0.107,Down,Timeout,N/A
20.0.0.131,Down,Timeout,N/A
20.0.0.132,Down,Timeout,N/A
20.0.0.80,Down,Timeout,N/A
20.0.0.109,Down,Timeout,N/A
20.0.0.133,Down,Timeout,N/A
20.0.0.136,Down,Timeout,N/A
20.0.0.120,Down,Timeout,N/A
20.0.0.105,Down,Timeout,N/A
